title,source,link,pubDate,fetchedAt
BU SEKTÖRLER RİSK ALTINDA,turkiyegazetesi_tr,https://www.turkiyegazetesi.com.tr/gundem/milli-istihbarat-akademisi-uyardi-bu-sektorler-risk-altinda-1786381,2026-04-24 23:46:10,2026-04-25T11:48:37.651071+00:00
Onconetix yönetim kurulu değişikliklerini duyurdu,investing_tr,https://tr.investing.com/news/sec-filings/onconetix-yonetim-kurulu-degisikliklerini-duyurdu-93CH-3867668,2026-04-24 23:41:44,2026-04-25T11:48:37.651071+00:00
Yeni MEB Bakan Yardımcısı Cihad Demirli kimdir? Eski Bakan Nazif Yılmaz neden görevden alındı?,karar,https://www.karar.com/karar-biyografi/yeni-meb-bakan-yardimcisi-cihad-demirli-kimdir-eski-bakan-nazif-yilmaz-2044388,2026-04-24 23:37:00,2026-04-25T11:48:37.651071+00:00
"Hakan Fidan: ""ABD-İran müzakerelerinde tıkanmış konular var""",turktime,https://www.turktime.com/haber/hakan-fidan-abd-iran-muzakerelerinde-tikanmis-konular-var-/743324,2026-04-24 23:18:43,2026-04-25T11:48:37.651071+00:00
Nerede kalmıştık! Formula 1 geri dönüyor,turkiyegazetesi_tr,https://www.turkiyegazetesi.com.tr/spor/nerede-kalmistik-formula-1-mujdesini-cumhurbaskani-erdogan-verdi-1786371,2026-04-24 23:05:07,2026-04-25T11:48:37.651071+00:00
NASA’daki Türk bilim adamı evrenin sırlarını anlattı,yenicaggazetesi,https://www.yenicaggazetesi.com/nasadaki-turk-bilim-adami-evrenin-sirlarini-anlatti-1022743h.htm,2026-04-24 23:04:01,2026-04-25T11:48:37.651071+00:00
GELECEK RİSK ALTINDA,turkiyegazetesi_tr,https://www.turkiyegazetesi.com.tr/kose-yazilari/ismail-kapan/suca-suruklenen-cocuklar-ssc-1786353,2026-04-24 23:00:13,2026-04-25T11:48:37.651071+00:00
"Bu Hafta Sonu Ankara, İzmir, Bursa ve Eskişehir Konserleri: 25 - 26 Nisan Hafta Sonunun En İyi Konserleri!",onedio,https://onedio.com/haber/bu-hafta-sonu-ankara-izmir-bursa-ve-eskisehir-konserleri-25-26-nisan-hafta-sonunun-en-iyi-konserleri-1355619,2026-04-24 22:23:09,2026-04-25T11:48:37.651071+00:00
Merakla beklenen DeepSeek V4 tanıtıldı: Düşük maliyet ve 1 milyon bağlam penceresi,donanimhaber,https://www.donanimhaber.com/deepseek-merakla-beklenen-v4-modelini-tanitti--204899,2026-04-24 22:11:00,2026-04-25T11:48:37.651071+00:00
İstanbul'da Bu Hafta Sonu Çocuklarla Yapılacak Etkinlikler: 25 - 26 Nisan Aileniz İçin Çok Eğlenceli Gelecek!,onedio,https://onedio.com/haber/istanbul-da-bu-hafta-sonu-cocuklarla-yapilacak-etkinlikler-25-26-nisan-aileniz-icin-cok-eglenceli-gelecek-1355615,2026-04-24 21:43:18,2026-04-25T11:48:37.651071+00:00
