model,score_1,score_2,score_3,score_4,score_5,cosine_avg
word2vec_lemmatized_cbow_win4_dim100.model,0.9999,0.9999,0.9999,0.9998,0.9998,0.9999
word2vec_lemmatized_cbow_win4_dim300.model,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
word2vec_stemmed_cbow_win4_dim100.model,0.9999,0.9999,0.9999,0.9999,0.9998,0.9999
word2vec_stemmed_cbow_win4_dim300.model,1.0,1.0,0.9999,0.9999,0.9999,0.9999
word2vec_stemmed_cbow_win2_dim300.model,0.9998,0.9998,0.9998,0.9998,0.9998,0.9998
word2vec_lemmatized_skipgram_win2_dim300.model,0.9997,0.9997,0.9996,0.9995,0.9994,0.9996
word2vec_stemmed_cbow_win2_dim100.model,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996
word2vec_lemmatized_cbow_win2_dim300.model,0.9996,0.9995,0.9995,0.9995,0.9995,0.9995
word2vec_stemmed_skipgram_win2_dim300.model,0.9998,0.9996,0.9993,0.9992,0.9992,0.9994
word2vec_lemmatized_cbow_win2_dim100.model,0.9994,0.9993,0.9993,0.9993,0.9992,0.9993
word2vec_lemmatized_skipgram_win2_dim100.model,0.9995,0.9992,0.999,0.9988,0.9987,0.999
word2vec_lemmatized_skipgram_win4_dim300.model,0.9994,0.9994,0.9988,0.9988,0.9985,0.999
word2vec_stemmed_skipgram_win2_dim100.model,0.9995,0.999,0.9989,0.9989,0.9987,0.999
word2vec_lemmatized_skipgram_win4_dim100.model,0.9991,0.9979,0.9976,0.9975,0.9972,0.9979
word2vec_stemmed_skipgram_win4_dim300.model,0.9982,0.998,0.9977,0.9976,0.9975,0.9978
word2vec_stemmed_skipgram_win4_dim100.model,0.9961,0.9956,0.9955,0.9951,0.995,0.9955
